診療項目代碼,健保支付點數,生效起日,生效迄日,英文項目名稱,中文項目名稱,備註
58009B,2847,20190901,29101231,Continuous ambulatory peritoneal dialysis， CAPD - 1.CAPD instruction,連續性可攜帶式腹膜透析--1.初次CAPD病人指導費,1.限以經專案向保險人申請同意後之醫院申報。2.限病人初次腹膜透析申報。3.包括病人專門技術訓練，家屬指導及教材給予。
58010B,600,20190901,29101231,"Continuous ambulatory peritoneal dialysis, CAPD - 2.CAPD, single unit P.D. set transfer material fee",連續性可攜帶式腹膜透析--2.CAPD病人輸液連接管更換材料費,1.包括輸液管組更換準備包、導管管夾、輸液連接管、腹膜透析引流袋。2.限術後使用CAPD病人申報。3.植管當次四週內以申報一次為原則，若有特殊阻塞或感染需更換管路者，得另申報一次，最多以二次為限。
58011C,8870,20260401,29101231,"Continuous ambulatory peritoneal dialysis, CAPD 3.Peritoneal Dialysis Follow up therapy (1)CAPD",連續性可攜帶式腹膜透析–3.腹膜透析追蹤處置費–(1)連續性可攜帶式腹膜透析,1.包括：(1)醫護人員費(nursing care) 5350點。(2)特殊材料費(CAPD special material) 450點。(3)每月醫材消耗品(monthly consumption) 1535點。(4)每月檢查費(monthly laboratory fee) 1535點。2.每月申報一次。3.病人改變治療模式(如腹膜透析改為血液透析)或停止腹膜透析治療者，則按比率扣除腹膜透析未治療天數費用。4.病人因故住院仍持續接受腹膜透析治療，費用由住院之院所申報。5.申報腹膜透析追蹤處置費應確實追蹤病人治療情形，病人由門診轉住院治療，住院醫院應聯繫原腹膜透析診治院所，告知病人住院期間、透析治療方式及儀器使用情形等，並於病歷記載。
58012B,4284,20181201,29101231,Continuous ambulatory peritoneal dialysis， CAPD 4.CAPD，Tenckhoff catheter implantation,連續性可攜帶式腹膜透析 － 4.連續性可攜帶式腹膜透析導管植入術。,1.限以經專案向健保署申請同意後之醫院申報2.包含手術費及一般材料費。
58013C,4100,20031201,29101231,Ascites dialytic ultrafiltration,腹水移除透析,註: 1.應以「頑固性腹水移除」為治療目的。2.已包括透析有關之技術費、檢驗費、一般及特殊藥劑費、一般及特殊材料費等。
58014C,4343,20231001,29101231,continuous veno-venous hemofiltration(C.V.V.H),連續性全靜脈血液過濾術(每日),1.生命徵象不穩定，且必需為接受過透析治療者。2.嚴重心臟衰竭合併肺水腫之病人。3.開心手術數日內併發急性腎衰竭之病人。
58015C,2475,20031201,29101231,Platelets pheresis,血小板分離術,註: 1.適應症：(1)懷孕而併有血小板增多症之病人有發生胎盤梗塞之危險。(2)因血小板增多症而導致即將中風之病人。2.本案不須事前專案申請，但申報費用時應附事前審查申報書及病歷摘要。3.特材請依支付標準特殊材料規定申報。
58016C,2475,20031201,29101231,Double filtration plasmapheresis,二重過濾血漿置換療法,註：施行本項之適應症請依58008C「血漿置換術」之規定辦理。
58017C,8870,20260401,29101231,"Continuous ambulatory peritoneal dialysis, CAPD 3.Peritoneal Dialysis Follow up therapy (2)Automated peritoneal dialysis",連續性可攜帶式腹膜透析–3.腹膜透析追蹤處置費–(2)全自動腹膜透析,1.包括：(1)醫護人員費(nursing care) 5350點。(2)特殊材料費(CAPD special material) 450點。(3)每月醫材消耗品(monthly consumption) 1535點。(4)每月檢查費(monthly laboratory fee) 1535點。2.每月申報一次。3.病人改變治療模式(如腹膜透析改為血液透析)或停止腹膜透析治療者，則按比率扣除腹膜透析未治療天數費用。4.病人因故住院仍持續接受腹膜透析治療，費用由住院之院所申報。5.申報腹膜透析追蹤處置費應確實追蹤病人治療情形，病人由門診轉住院治療，住院醫院應聯繫原腹膜透析診治院所，告知病人住院期間、透析治療方式及儀器使用情形等，並於病歷記載。
58018C,5387,20231001,29101231,Continuous veno-venous hemofiltration dialysis (C.V.V.H.D),連續性全靜脈血液過濾透析術(每三日),1.生命徵象不穩定，且必需為接受過透析治療者。2.嚴重心臟衰竭合併肺水腫之病人。3.開心手術數日內併發急性腎衰竭之病人。
58026C,1200,20040701,29101231,Home visit－home dialysis therapy,居家訪視-居家透析治療,註:1.新病患出院後一個月內一次。2.長期病患每年一次。3.多次合併症的個案，如腹膜炎導管出口及遂道發炎等特殊個案，視情況申報。
58027C,4192,20260401,29101231,Hemodialysis,血液透析（一次）- 門診 – 急重症透析,1.以上項目所定點數包括技術費、檢驗費、藥劑費、一般材料費、特殊材料費、特殊藥劑費用(含EPO、Vadadustat)及腎性貧血之輸血費在內。2. 58027C僅限符合下列條件之一者申報。(1)領有慢性腎衰竭、腎囊腫性疾病或腎臟移植手術後追蹤照護之重大傷病證明外，同時領有第二張其他疾病之重大傷病證明者。(2)未滿十三歲病人。(3)急診案件(緊急傷病必須立即血液透析當次申報)。(4)金門、馬祖、澎湖、小琉球、蘭嶼及綠島院所。(5)急性期個案透析(限首次領取慢性腎衰竭且必須接受定期透析治療之重大傷病卡之有效起日三十日內申報，含有效卡三個月)。
58028C,67,20210301,29101231,"Continuous ambulatory peritoneal dialysis, CAPD 3.Peritoneal Dialysis Follow up therapy (3)APD daily fee",連續性可攜帶式腹膜透析--3.腹膜透析追蹤處置費 -全自動腹膜透析機相關費用-每日,1.限長期使用全自動腹膜透析治療病人申報。2.每日每一病人限申報一次。包含租金、保養、維修及管理等費用。
58029C,4000,20260401,29101231,Hemodialysis,血液透析（一次）- 門診 – 一般透析,1.以上項目所定點數包括技術費、檢驗費、藥劑費、一般材料費、特殊材料費、特殊藥劑費用(含EPO、Vadadustat)及腎性貧血之輸血費在內。2. 58027C僅限符合下列條件之一者申報。(1)領有慢性腎衰竭、腎囊腫性疾病或腎臟移植手術後追蹤照護之重大傷病證明外，同時領有第二張其他疾病之重大傷病證明者。(2)未滿十三歲病人。(3)急診案件(緊急傷病必須立即血液透析當次申報)。(4)金門、馬祖、澎湖、小琉球、蘭嶼及綠島院所。(5)急性期個案透析(限首次領取慢性腎衰竭且必須接受定期透析治療之重大傷病卡之有效起日三十日內申報，含有效卡三個月)。
58030B,10375,20200101,29101231,Sustained low efficiency daily dia-hemofiltration (SLEDD-f),緩慢低效率每日血液透析過濾治療,適應症：1.生命徵象不穩定，且必要為接受過透析治療者2.嚴重心臟衰竭合併肺水腫之病患3.開心手術數日內併發急性腎衰竭之病患。
58031A,144277,20190901,29101231,Molecular absorbent recirculating system(MARS),分子吸附循環系統,1.適應症：肝臟衰竭病人肝臟移植前的橋接治療，並須符合下列所有條件：(1)病人經傳統治療無法維持肝功能，而於短期內有致死之虞者（MELD score >30 或 PELD score >30）。(2)經評估通過需要肝臟移植者。(3)已有活體肝臟移植捐贈者。2.終止條件：下列情況之一，應考慮中止治療或改為自費治療：(1)治療後一週內無明顯改善者（SOFA score仍未小於十一分，或MELD score仍未小於二十五分）。(2)一週內無法接受肝移植者。3.當次移植以給付三次為限。4.含血清白蛋白注射液及血液淨化套組(MARS Treatment Kit)。
59002B,2784,20210701,29101231,Decompression sickness and acute gas embolism (including post operative),潛水病（減壓病）或急性氣栓塞症 50呎  120分,
59003B,6960,20210701,29101231,Carbon monoxide toxicity(including cyanide toxicity and smoke inhalation),一氧化碳中毒（氰化物及氣體中毒）  66呎   180分,限急性發作期患者申報。
59004B,3480,20210701,29101231,Carbon monoxide toxicity(including cyanide toxicity and smoke inhalation),一氧化碳中毒（氰化物及氣體中毒）66呎   90分,
59005B,8352,20210701,29101231,Clostridial gasgangrene、anaerobic bacteriodes infections,氣壞疽病 :1.氣壞疽及厭氧擋細菌感染 2.壞死性軟組織感染及混合性細菌感染     66呎 180分,註:限急性發作有生命危險者實施。
59006B,4176,20210701,29101231,Necrotizing soft tissue infection and mixed infection,氣壞疽病 :1.氣壞疽及厭氧性細菌感染 2.壞死性軟組織感染及混合性細菌感染    66呎  90分,註:限急性發作有生命危險者實施。
59007B,2880,20200101,29101231,"Osteomyelitis, refractory",慢性復發性骨髓炎 50呎  120分,1.須經外科治療或抗生素治療證實無效患者申報 2.須專案報經保險人同意後實施。
59008B,1800,20200101,29101231,"Osteomyelitis, refractory",慢性復發性骨髓炎  33呎  90分,須專案報經保險人同意後實施。
59009B,2400,20260101,29101231,Crush injury with acute traumatic Ischemia,肢體壓傷伴有創傷性缺血 50呎  120分,1.應符合下列任一條件：(1)必需遲延之病人。(2)無法輸血之病人。(3)無法外科治療之病人。(4)經緊急適當處置(如：血管腔內手術Endovascular surgery、血管重建、血管修復、血管繞道、血管吻合、血管內取栓、暫時性血管架接術、筋膜切開減壓手術、清創及其他）後或59010B 治療後仍療效不佳病人。2.申報時應檢附肢體處置前後照片備查。
59010B,1800,20260101,29101231,Crush injury with acute traumatic Ischemia,肢體壓傷伴有創傷性缺血 33呎  90分,應事前審查。
59011B,3341,20210701,29101231,Thermal burns acute-second and third degree burns involving 15% to 90% of total body surface,急性燒灼傷、二至三度燒傷，表面積介於百分之十五至百分之九十   50呎  120分,1.限皮膚移植可能失敗或不能確定效果或以往有皮膚移植失敗病史患者申報 2.須專案報經健保險人意後實施。
59012B,4176,20210701,29101231,Thermal burns acute-second and third degree burns involving 15% to 91% of total body surface,急性燒灼傷、二至三度燒傷，表面積介於百分之十五至百分之九十  66呎  90分,需專案報經保險人同意後實施。
59013B,3341,20210701,29101231,1.Osteoradionecrosis 2.Radiation cystitis、radiation、 enteritis,放射性組織壞死 1.放射性骨壞死  2.放射性膀胱炎、放射性腸炎  50呎  120分,註：「放射性膀胱炎」、「放射性腸炎」須為合併大量出血，經屢次輸血及其他治療無效者。
59014B,30836,20250901,29101231,Decompression sickness and acute gas embolism (including post operative),潛水病（減壓病）或急性氣栓塞症之高壓氧治療 165呎/319分,"1.限治療第二型潛水減壓病（Decompression Sickness, DCSII）及空氣栓塞症（Arterial Gas Embolism, AGE）之急診與住院病人申報，且申報時應檢附詳細記載症狀及身體檢查之病歷紀錄。2.急診病人限申報一次。"
59015B,14886,20210701,29101231,Decompression sickness and acute gas embolism (including post operative),潛水病（減壓病）或急性氣栓塞症之高壓氧治療 165呎/154分,"治療第一型潛水減壓病（Decompression Sickness, DCSI）(輕微型)及空氣栓塞症（Arterial Gas Embolism, AGE）病患申報。"
59016B,3236,20210701,29101231,Decompression sickness and acute gas embolism (including post operative),潛水病（減壓病）或急性氣栓塞症之高壓氧治療 60呎/135分,DCS及AGE之殘餘症狀治療。
5A,272,20220701,29101231,,助產所-孕產婦檢查妊娠第一期第一次(妊娠未滿十三週),檢查項目：1.例行產檢。2.流產徵兆、高危險妊娠及孕期營養衛教指導。
5B,652,20220701,29101231,,助產所-孕產婦檢查妊娠第一期第二次(妊娠未滿十三週),不含Rubella IgG及HBsAG及 HBeAG
5C,272,20220701,29101231,,助產所-孕產婦檢查妊娠第二期第三次(妊娠十三週未滿二十九週),註:本項業務自95.1.1起移歸國民健康局管理。檢查項目：1.例行產檢。2.早產防治衛教指導。
5D,272,20220701,29101231,,助產所-孕產婦檢查妊娠第二期第四次(妊娠十三週未滿二十九週),註:1.本項業務自95.1.1起移歸國民健康局管理。2.不含超音波檢查項目：1.例行產檢。2.早產防治衛教指導。
5E,272,20220701,29101231,,助產所-孕產婦檢查妊娠第二期第五次(妊娠十三週未滿二十九週),檢查項目：1.例行產檢。2.早產徵兆及孕期營養衛教指導。
5F,272,20220701,29101231,,助產所-孕產婦檢查妊娠第二期第六次(妊娠十三週未滿二十九週),註:本項業務自95.1.1起移歸國民健康局管理。檢查項目：1.例行產檢。
5G,272,20220701,29101231,,助產所-孕產婦檢查妊娠第三期第七次(妊娠二十九週以上),檢查項目：1.例行產檢。
5H,335,20220701,29101231,,助產所-孕產婦檢查妊娠第三期第八次(妊娠二十九週以上),檢查項目：1.例行產檢。2.於妊娠三十二週前後提供VDRL等實驗室檢驗。註:本項業務自95.1.1起移歸國民健康署管理。
5I,272,20220701,29101231,,助產所-孕產婦檢查妊娠第三期第九次(妊娠二十九週以上),註:本項業務自95.1.1起移歸國民健康署管理。檢查項目：1.例行產檢。
5J,272,20220701,29101231,,助產所-孕產婦檢查妊娠第三期第十次(妊娠二十九週以上),1註:本項業務自95.1.1起移歸國民健康署管理。檢查項目：1.例行產檢。
5K,272,20220701,29101231,,助產所-孕產婦檢查妊娠第三期第十一次(妊娠二十九週以上),檢查項目：1.例行產檢。
5L,272,20220701,29101231,,助產所-孕產婦檢查妊娠第三期第十二次(妊娠二十九週以上),註:本項業務自95.1.1起移歸國民健康署管理。檢查項目：1.例行產檢。
5M,272,20220701,29101231,,助產所-孕產婦檢查妊娠第三期第十三次(妊娠二十九週以上),註:本項業務自95.1.1起移歸國民健康署管理。檢查項目：1.例行產檢。
5N,272,20220701,29101231,,助產所-孕產婦檢查妊娠第三期第十四次(妊娠二十九週以上),註:本項業務自95.1.1起移歸國民健康署管理。檢查項目：1.例行產檢。
5P,540,20250501,29101231,,醫療院所-產後健康照護服務第1次：產後1個月內(建議於產後1-2週),服務內容一、生理量測：體重、血壓。二、疾病與身體機能評估：1.孕產期疾病後續評估。2.慢性病評估。3.身體、骨盆泌尿機能評估。三、心理健康：愛丁堡憂鬱量表(個案自評)。四、產後生活型態及生育之諮詢：1.睡眠、家庭支持評估之諮詢。2.餵養、孩子照護諮詢。3.戒菸、酒、非法藥物諮詢。4.疫苗諮詢。註：上述補助金額均含資料上傳(上傳內容詳如附表三)
5Q,450,20250501,29101231,,醫療院所-產後健康照護服務第2次：產後3個月內(建議於產後6-8週),服務內容一、生理量測：體重、血壓。二、疾病與身體機能評估：1.孕產期疾病後續評估。2.慢性病評估。3.身體、骨盆泌尿機能評估。三、心理健康：愛丁堡憂鬱量表(個案自評)。四、產後生活型態及生育之諮詢：1.運動、營養諮詢。2.性生活、避孕、下一胎諮詢。註：上述補助金額均含資料上傳(上傳內容詳如附表三)
60,550,20220701,29101231,,醫療院所-第一次超音波檢查,建議於妊娠第八至十六週提供一次超音波檢查。確定胎兒心跳，評估著床位置、胎數、胎兒大小及預產期。
60001C,4330,19950301,29101231,Laser for macula -first visit,黃斑部雷射術 － 初診-,
60002C,2180,19950301,29101231,Laser for macula -return visit,黃斑部雷射術 － 複診,
60003C,4940,19950301,29101231,PRP-first visit,全網膜雷射術 － 初診,
60004C,2470,19950301,29101231,PRP-return visit,全網膜雷射術 － 複診,
60005C,4330,20221201,29101231,Focal laser for peripheral retina - first visit,周邊（局部）網膜雷射術–初診,
60006C,2180,20221201,29101231,Focal laser for peripheral retina -return visit,周邊（局部）網膜雷射術－複診,
60007C,3900,19950301,29101231,Laser for trabecular meshwork (glaucoma) -first visit,小樑雷射術（青光眼）－ 初診,
60008C,1950,19950301,29101231,Laser for trabecular meshwork (glaucoma) -return visit,小樑雷射術（青光眼）－ 複診,
60009C,2915,20040701,29101231,"Laser ciliary body destruction, for glaucoma - first visit",睫狀體雷射破壞術－ 初診,
60010C,1494,20040701,29101231,"Laser ciliary body destruction, for glaucoma -return visit",睫狀體雷射破壞術－ 複診,
60011C,3900,19950301,29101231,Laser for iris (glaucoma) - first visit,虹膜雷射術（青光眼） － 初診,
60012C,1950,19950301,29101231,Laser for iris (glaucoma) -return visit,虹膜雷射術（青光眼） － 複診,
60013C,3900,19950301,29101231,Laser capsulotomy -first visit,雷射後囊切開術 － 初診,
60014C,1950,19950301,29101231,Laser capsulotomy - return visit,雷射後囊切開術 － 複診,
60015C,2180,20031201,29101231,Corneal neovascular laser treatment,角膜新生血管雷射燒灼術,
60016C,6000,20050101,29101231,Photodynamic Laser Therapy,光動力雷射治療,
61,550,20220701,29101231,,醫療院所-第二次超音波檢查,註:本項業務自95.1.1起移歸國民健康局管理。建議於妊娠第二十週前後提供一次超音波檢查。檢查胎數、胎兒大小測量、心跳、胎盤位置、羊水量。
61001C,125,19950301,29101231,Tibia fracture or knee arthrodeis,脛骨一般骨折及膝關節溶合術,
61002C,168,20231001,29101231,tibia low 1/3 fracture,脛骨下三分之一骨折,
61003C,168,20231001,29101231,Tibia up 1/3 fracture (High tibia osteotomy),脛骨上三分之一骨折,
61004C,240,20231001,29101231,Tibia up 1/3 comminuted fracture,脛骨上三分之一粉碎性骨折,
61005C,228,20231001,29101231,Tibia segmental fracture,脛骨分段性骨折,
61006C,216,20231001,29101231,Ankle fracture,踝部骨折,
61007C,144,20231001,29101231,Femur fracture,股骨骨折,
61008C,264,20231001,29101231,Femur subcondylor fracture,股骨髁部骨折,
61009C,204,20231001,29101231,Femur segmental fracture,股骨分段性骨折,
61010C,102,20231001,29101231,Pelvic fracture,骨盤穩定性骨折,
61011C,216,20231001,29101231,Pelvic fracture (unstable),骨盤不穩定性骨折,
61012C,115,19950301,29101231,Actabular fracture Hip,髖骨或上股骨骨折,
61013C,60,19950301,29101231,Humerus fracture,肱骨骨折,
61014C,40,19950301,29101231,Radius or ulna simple fracture,橈骨或尺骨一般性骨折,
61015C,115,19950301,29101231,Radius and ulna fracture,橈骨和尺骨雙骨折,
61016C,150,20231001,29101231,Elbow fracture,肘部骨折,
61017C,60,19950301,29101231,Shoulder fracture,肩部骨折,
61018C,1672,20040701,29101231,Remove of external fixation apparatus,骨骼外固定器取除術,包括骨穿刺針移除。
61019C,40,20031201,29101231,,頸外固定器租金,註:本項限高位頸椎脫臼骨折或C1-C2骨折，不適合開放性復位情況使用。本組含頭圈部、吸盤釘、鈦金屬頭釘、紅色轉扭、扭力棒、白色牽引圈、身架、羊毛墊、板手
61020C,138,20231001,29101231,Application of external fixation apparatusfacial in facial bone fracture,顱顏面骨折-骨骼外固定器使用,
62,550,20220701,29101231,,醫療院所-第三次超音波檢查,建議於妊娠第三十二週後提供一次超音波檢查。在妊娠後期及生產前，確定胎兒胎位等情形，以利生產方式的決定。檢查心跳、胎位、胎兒大小測量、心跳、胎盤位置、羊水量。
62001C,1300,20231001,29101231,Excision of facial skin and subcutaneous tumor - within 1cm in diameter,顏面皮膚及皮下腫瘤切除術 － 直徑小於一公分,
62002C,2520,20231001,29101231,Excision of facial skin and subcutaneous tumor - 1cm to 2cm in diameter,顏面皮膚及皮下腫瘤切除術 － 直徑一至二公分,
62003C,5514,20231001,29101231,Excision of facial skin tumor - over 2cm in diameter,顏面皮膚及皮下腫瘤切除術 － 直徑超過二公分,
62007C,5929,20231001,29101231,"Full thickness skin graft,(FTSG)",皮膚全層植補術 FTSG - 小於十平方公分,
62008B,9360,20040701,29101231,Tube pedicle graft,管形皮膚移植術,
62009C,2290,20231001,29101231,"Excision of muscle or deep tissue tumor,deep foreign body",肌肉或深部組織腫瘤切除術及異物取出術,
62010C,1623,20231001,29101231,Excision of skin or subcutaneous tumor (Except face) － within 2cm,臉部以外皮膚及皮下腫瘤摘除術 － 小 小於二公分,一般腫瘤的大小很少超過十公分，大部份小於五公分，超過十公分之腫瘤以640208B申報。
62011C,1927,20231001,29101231,Excision of skin or subcutaneous tumor (Except face) － 2 to 4 cm,臉部以外皮膚及皮下腫瘤摘除術 － 中 二公分至四公分,一般腫瘤的大小很少超過十公分，大部份小於五公分，超過十公分之腫瘤以64208B申報。
62012C,3371,20231001,29101231,Excision of skin or subcutaneous tumor (Except face) - 4 to 10cm,臉部以外皮膚及皮下腫瘤摘除術 － 大 四公分至十公分,一般腫瘤的大小很少超過十公分，大部份小於五公分，超過十公分之腫瘤以64208B申報。
62013C,5751,20231001,29101231,Cross finger skin flap,交指皮瓣移植術,
62014C,4544,20231001,29101231,Split thickness skin graft S.T.S.G - within 25 c㎡,多層皮膚移植 － 小於二十五平方公分,
62015B,5267,20220301,29101231,Split thickness skin graft S.T.S.G - 25 to 100 c㎡,多層皮膚移植 － 二十五至一百平方公分,
62016B,3588,20220301,29101231,Split thickness skin graft S.T.S.G - every incerase of 100c㎡,多層皮膚移植 － 每增加一百平方公分,
62017C,3247,20231001,29101231,Composite graft,複合移植,
62018C,4352,20231001,29101231,Z-plasty,Ｚ－形皮瓣,
62019B,3030,19971101,29101231,Argon laser therapy,氬氣雷射治療,
62020B,3213,20220901,29101231,CO2 laser operation,二氧化碳雷射手術,不得同時申報65079B。
62021C,3100,20231001,29101231,Skoog operation,腋下汗腺切除術 二邊,
62022C,8700,20231001,29101231,Excision of skin cancer & SSG - within 2cm in diameter,皮膚惡性腫瘤切除及植皮術 ─ 直徑小於二公分,申報時應附病理報告。
62023B,10880,20220301,29101231,Excision of skin cancer & SSG - 2cm to 5cm in diameter,皮膚惡性腫瘤切除及植皮術 ─ 直徑二至五公分,申報時應附病理報告。
62024B,13090,20220301,29101231,Excision of skin cancer & SSG - over 5cm in diameter,皮膚惡性腫瘤切除及植皮術 ─ 直徑超過五公分,申報時應附病理報告。
62025B,10351,20040701,29101231,Muscle or myocutaneous flap,肌肉瓣或肌皮瓣,
62026B,10880,19971101,29101231,Pharyngeal flap,咽部皮瓣手術,
62027B,9312,20040701,29101231,Lip flap,唇部皮瓣手術,唇部皮瓣包括Abbe flap及Exlander flap。
62029B,13111,20200101,29101231,Cross leg skin flap,交腳皮瓣移植術,
62030B,7540,19971101,29101231,Cross palm skin flap,交掌皮瓣移植術,
62031B,11124,20200101,29101231,Cross arm skin flap,交臂皮瓣移植術,
62032B,26627,20210701,29101231,Microvascular free flap - skin flap,顯微血管游離瓣手術 － 皮瓣移植,
62033B,26765,20210701,29101231,Microvascular free flap - muscle flap,顯微血管游離瓣手術 － 肌肉移植,
62034B,38342,20210701,29101231,Microvascular free flap - bone flap,顯微血管游離瓣手術 － 骨移植,
62035B,38342,20210701,29101231,Microvascular free flap - omentum flap,顯微血管游離瓣手術 － 腸系膜移植,
62036B,38342,20210701,29101231,Microvascular free flap - intestinal flap,顯微血管游離瓣手術 － 小腸移植,
62037B,26627,20210701,29101231,Microvascular free flap - free fascia flap,顯微血管游離瓣手術 － 游離筋膜瓣移植,
62038B,38342,20210701,29101231,Microvascular free flap - free functioning muscle transfer,顯微血管游離瓣手術 － 游離功能性肌瓣移植,
62040B,9420,20200101,29101231,,管型皮片整位術,
62041B,1544,20220301,29101231,Micro & general dermabrasion (<5cm),微晶 & 一般磨皮術(小於五公分),限皮膚類澱粉症及表皮母斑症病患申報。
62042B,1640,20220301,29101231,Micro & general dermabrasion(5-10 cm),微晶 & 一般磨皮術(五至十公分),限皮膚類澱粉症及表皮母斑症病患申報。
62043B,2130,20220301,29101231,Micro & general dermabrasion(>10cm),微晶 & 一般磨皮術(超過十公分),限皮膚類澱粉症及表皮母斑症病患申報。
62044B,2200,20040701,29101231,Muscle biopsy,肌肉切片,
62045B,3336,20220301,29101231,Local flap(<1cm),局部皮瓣(小於一公分),
62046C,3350,20231001,29101231,Loca flap(1-2cm),局部皮瓣(一至二公分),屬西醫基層總額部門院所，除山地離島地區外，限由專任醫師開立處方及執行始可申報。
62047C,7310,20231001,29101231,Local flap(>2cm),局部皮瓣(超過二公分),屬西醫基層總額部門院所，除山地離島地區外，限由專任醫師開立處方及執行始可申報。
62049B,5183,20040701,29101231,V-Y advancement flap (hand),手部V-Y型皮瓣手術,
62051B,10880,20031201,29101231,Delto-pectoralis flap,三角胸皮瓣,
62052B,10440,20200101,29101231,Tongue flap,舌瓣,
62053B,10880,20031201,29101231,Muscle rotation flap,肌移位術,
62054B,10880,20031201,29101231,Fasciocutaneous roation flap,皮腱膜移位術,
62055B,10880,20031201,29101231,Myocutaneous roation flap,皮肌移位,
62056B,7540,20031201,29101231,Groin flap,腹股溝皮瓣移植術,
62058B,24250,20031201,29101231,Pectoralis major myocutaneous flap,大胸肌皮瓣,
62059B,7310,20031201,29101231,Rotation flap,旋轉皮瓣移植術(手部以外),限手部以外之大型皮瓣移植。
62060B,7310,20031201,29101231,Advance flap,移前皮瓣移植術,
62062C,1180,20231001,29101231,Tumor unspecified site biosy,"腫瘤組織檢查切片術,部位未明示",
62063B,18780,20200101,29101231,Replantation of tongue,舌再接手術,限舌頭完全斷裂行顯微手術者申報。
62064C,5416,20231001,29101231,Full-thickness skin graft - add 10 c㎡,皮膚全層植補術FTSG - 每增加十平方公分,
62065C,6057,20231001,29101231,"Face,neck - 5c㎡",臉、頸部植皮 - 五平方公分,
62066C,1730,20231001,29101231,"Face,neck - every 5c㎡ of increase",臉、頸部植皮 - 每增加五平方公分,
62067C,5954,20231001,29101231,"Skin graft for hand,perineum, and foot - 5c㎡",手部、會陰、腳植皮 - 五平方公分,
62068C,1644,20231001,29101231,"Skin graft for hand,perineum, and foot - every 5c㎡",手部、會陰、腳植皮 - 每增加五平方公分,
62069C,4986,20231001,29101231,V-Y plasty,V-Y 形皮瓣,
62070B,7487,20231101,29101231,Oral mucous flap,口腔粘膜皮瓣手術,1.口腔粘膜包括齒齦、頰部、顎部及舌部粘膜。2.一般材料費及單次使用鑽針，得另加計百分之七十二。
62071B,2848,20220301,29101231,Erb-YAG laser operation,鉺雅鉻雷射手術,含一般材料費，得另加計百分之四。
62072B,10861,20220301,29101231,Hydrosurgery debridement,水刀清創,1.適應症：二度燙傷以上及總燙傷面積百分之二十以上，接受自體皮膚移植手術當次得申報水刀清創。2.支付規範：(1)同一醫院同一病患同一傷害，限申報一次。(2)須事前審查。(3)不得同時申報支付標準診療項目：48015B、48016B、48017B、48029B及48030B。(4)一般材料費及單一使用拋棄式之微創噴射灌洗器，得另加計百分之三百零九。
62073B,47775,20240901,29101231,Microvascular free flap - perforator flap - one-perforator,顯微血管游離瓣手術－穿通枝瓣移植－單區塊組織瓣,1.適應症：因遺傳性缺損、腫瘤、外傷等因素，以致位於頭頸部、軀幹與四肢軟組織缺損需重建，且無法以縫合、植皮、局部皮瓣等方式重建之損傷，依供應皮瓣的血管分支數量計算區塊。2.支付規範：(1)限整形外科、口腔顎面外科專科醫師，或具手外科訓練之骨科專科醫師、顯微重建訓練資格之耳鼻喉科專科醫師。 (2)須檢附手術中缺損照片、游離區塊瓣照片及術後縫合完成照片。(3)不得與顯微游離皮瓣手術（62032B-62038B）合併申報為原則，若因病情需要，須於病歷上註明原因並加強審查。(4)本項包含組織辦之摘取及移植，申報時檢附手術紀錄備查。3.單區塊組織瓣：一般材料費得另加計百分之二十三。4.雙區塊組織瓣：一般材料費得另加計百分之二十。5.三區塊以上組織瓣：一般材料費得另加計百分之十七。
62074B,55237,20240901,29101231,Microvascular free flap - perforator flap - two-perforators,顯微血管游離瓣手術－穿通枝瓣移植－雙區塊組織瓣,1.適應症：因遺傳性缺損、腫瘤、外傷等因素，以致位於頭頸部、軀幹與四肢軟組織缺損需重建，且無法以縫合、植皮、局部皮瓣等方式重建之損傷，依供應皮瓣的血管分支數量計算區塊。2.支付規範：(1)限整形外科、口腔顎面外科專科醫師，或具手外科訓練之骨科專科醫師、顯微重建訓練資格之耳鼻喉科專科醫師。 (2)須檢附手術中缺損照片、游離區塊瓣照片及術後縫合完成照片。(3)不得與顯微游離皮瓣手術（62032B-62038B）合併申報為原則，若因病情需要，須於病歷上註明原因並加強審查。(4)本項包含組織辦之摘取及移植，申報時檢附手術紀錄備查。3.單區塊組織瓣：一般材料費得另加計百分之二十三。4.雙區塊組織瓣：一般材料費得另加計百分之二十。5.三區塊以上組織瓣：一般材料費得另加計百分之十七。
